"6","58.0","2","20240316","21","21","HEATING ELECTRICITY SEWERAGE","21","21","4"
"7","58.0","2","20240316","21","21","HEATING ELECTRICITY SEWERAGE","21","21","8"
"10","58.0","2","20240316","21","21","HEATING ELECTRICITY SEWERAGE","21","21","2"
"11","58.0","2","20240316","21","21","HEATING ELECTRICITY SEWERAGE","21","21","5"
"4","58.0","2","20240316","21","21","HEATING ELECTRICITY SEWERAGE","21","21","11"
"5","58.0","2","20240316","21","21","HEATING ELECTRICITY SEWERAGE","21","21","8"
"9","58.0","2","20240316","21","21","HEATING ELECTRICITY SEWERAGE","21","21","6"
"1","58.0","2","20240316","21","21","HEATING ELECTRICITY SEWERAGE","21","21","3"
"2","58.0","2","20240316","21","21","HEATING ELECTRICITY SEWERAGE","21","21","7"
"cd7cd9ba-211b-4ba5-8aeb-d5d3595a7c6d","35.0","4","20240912","1","1/2","","6/7/21/5/4/9","6/7/21/2/9/4/10/11","22"
